t,point_id,theta_rad,rho,boundary_lon_idx,boundary_lat_idx
10.0,4,1.0471975511965974,5.694311651307514,10.72583548209412,12.810098203538384
10.0,5,2.094395102393195,2.1325895467162095,6.812384883082258,9.725556379741741
11.0,0,-3.141592653589793,1.4217549452808163,6.2447926768035815,7.666547622084398
11.0,1,-2.0943951023931957,2.1312624538677905,6.600916395150502,5.820820194902931
11.0,2,-1.0471975511965979,5.694096630781147,10.513595937474971,2.735315288224543
11.0,3,0.0,8.57812338994001,16.24467101202441,7.666547622084398
11.0,4,1.0471975511965974,5.694096630781148,10.513595937474975,12.597779955944253
11.0,5,2.094395102393195,2.131262453867792,6.600916395150503,9.512275049265867
12.0,0,-3.141592653589793,1.4202701473301484,6.0341454403982855,7.454415587728434
12.0,1,-2.0943951023931957,2.129504749103779,6.389663213176544,5.610210377524954
12.0,2,-1.0471975511965979,5.693811331598107,10.301321253527487,2.52343033020877
12.0,3,0.0,8.579608116338001,16.034023704066435,7.454415587728434
12.0,4,1.0471975511965974,5.693811331598108,10.30132125352749,12.385400845248096
12.0,5,2.094395102393195,2.12950474910378,6.389663213176545,9.298620797931916
13.0,0,-3.141592653589793,1.4187197553414013,5.823563798031069,7.24228355337247
13.0,1,-2.0943951023931957,2.127668666730584,6.1784492200071774,5.399668437147618
13.0,2,-1.0471975511965979,5.693512691087088,10.089039898916013,2.3115569261219484
13.0,3,0.0,8.58115843359443,15.8234419869669,7.24228355337247
13.0,4,1.0471975511965974,5.693512691087089,10.089039898916017,12.173010180622992
13.0,5,2.094395102393195,2.1276686667305853,6.178449220007178,9.084898669597324
14.0,0,-3.141592653589793,1.4127821512846663,5.61736936773184,7.030151519016506
14.0,1,-2.0943951023931957,2.1206300588597222,5.969836489586645,5.193632016015098
14.0,2,-1.0471975511965979,5.692361994025792,9.876332516029402,2.1004214246531268
14.0,3,0.0,8.58709575126931,15.617247270285816,7.030151519016506
14.0,4,1.0471975511965974,5.692361994025794,9.876332516029406,11.959881613379885
14.0,5,2.094395102393195,2.1206300588597236,5.969836489586646,8.866671022017917
15.0,0,-3.141592653589793,1.4088849857006434,5.409134498959899,6.818019484660542
15.0,1,-2.0943951023931957,2.116004300672133,5.760017334324475,4.98550600576135
15.0,2,-1.0471975511965979,5.691600700669609,9.663819834995346,1.8889486896833505
15.0,3,0.0,8.590992728733754,15.409012213394297,6.818019484660542
15.0,4,1.0471975511965974,5.6916007006696105,9.66381983499535,11.747090279637735
15.0,5,2.094395102393195,2.1160043006721345,5.760017334324476,8.650532963559737
16.0,0,-3.141592653589793,2.2089044416067085,4.39698300869787,6.605887450304579
16.0,1,-2.0943951023931957,2.977911470756532,5.116931714926312,4.026940466408341
16.0,2,-1.0471975511965979,5.759071965262839,9.485423432935997,1.6183848261641876
16.0,3,0.0,7.79100936590967,14.396896816214248,6.605887450304579
16.0,4,1.0471975511965974,5.759071965262841,9.485423432936,11.593390074444969
16.0,5,2.094395102393195,2.9779114707565335,5.116931714926313,9.184834434200818
17.0,0,-3.141592653589793,1.4053546749292325,4.988400741019382,6.393755415948615
17.0,1,-2.0943951023931957,2.1118099056311426,5.337850463133043,4.564874389708427
17.0,2,-1.0471975511965979,5.690906935880926,9.239208883889077,1.465285438902673
17.0,3,0.0,8.594522868990053,14.988278284938668,6.393755415948615
17.0,4,1.0471975511965974,5.690906935880927,9.23920888388908,11.322225392994557
17.0,5,2.094395102393195,2.111809905631144,5.337850463133044,8.222636442188804
18.0,0,-3.141592653589793,1.4012291790343676,4.780394202558283,6.181623381592651
18.0,1,-2.0943951023931957,2.1069034450629993,5.128171659061151,4.356991474847142
18.0,2,-1.0471975511965979,5.690091216628328,9.026668989906815,1.253859838141815
18.0,3,0.0,8.59864816549699,14.78027154708964,6.181623381592651
18.0,4,1.0471975511965974,5.690091216628331,9.026668989906819,11.109386925043488
18.0,5,2.094395102393195,2.106903445063,5.128171659061152,8.006255288338162
19.0,0,-3.141592653589793,1.3948746424123641,4.574616704824323,5.969491347236687
19.0,1,-2.0943951023931957,2.0993355811790364,4.919823556647168,4.151413402867073
19.0,2,-1.0471975511965979,5.6888242080297315,8.813903451251552,1.0428250654190494
19.0,3,0.0,8.60500239473609,14.574493741972777,5.969491347236687
19.0,4,1.0471975511965974,5.688824208029734,8.813903451251555,10.896157629054326
19.0,5,2.094395102393195,2.099335581179038,4.919823556647169,7.787569291606303
20.0,0,-3.141592653589793,1.3905871979001982,4.366772114980525,5.757359312880723
20.0,1,-2.0943951023931957,2.094222352962298,4.710248136399574,3.943709554042152
20.0,2,-1.0471975511965979,5.687962102926348,8.601340364343898,0.8314396359833474
