cell_id,lon_idx,lat_idx,center_lon,center_lat,distribution,n_regimes,wind_speed_1,probability_1,std_1,wind_speed_2,probability_2,std_2
1936,36,38,-90.594055,26.685314,unimodal,1,10.771128984682896,1.0,0.2416391367117773,,,
1937,37,38,-90.40959,26.685314,unimodal,1,9.982112253550508,1.0,0.2594200827914126,,,
1938,38,38,-90.22514,26.685314,unimodal,1,9.44239262730966,1.0,0.1477008439704288,,,
1939,39,38,-90.04068,26.685314,unimodal,1,9.568963271429274,1.0,0.1763383790496296,,,
1940,40,38,-89.85623,26.685314,unimodal,1,8.890720609025811,1.0,0.2463475415285928,,,
1941,41,38,-89.67177,26.685314,unimodal,1,8.361710409141631,1.0,0.1782776055230844,,,
1942,42,38,-89.487305,26.685314,unimodal,1,7.838001718561644,1.0,0.2049725097661939,,,
1943,43,38,-89.30286,26.685314,unimodal,1,7.335063342011141,1.0,0.1116603754445351,,,
1944,44,38,-89.11839,26.685314,unimodal,1,6.945532463846348,1.0,0.2133155820409134,,,
1945,45,38,-88.933945,26.685314,unimodal,1,6.8229634551546345,1.0,0.0695943278732592,,,
1946,46,38,-88.74948,26.685314,unimodal,1,6.463286001351093,1.0,0.1468805098976151,,,
1947,47,38,-88.565025,26.685314,unimodal,1,6.252971494947542,1.0,0.106231357758734,,,
1948,48,38,-88.38057,26.685314,unimodal,1,6.1675668373147055,1.0,0.0925450998053931,,,
1949,49,38,-88.196106,26.685314,unimodal,1,5.910938228483054,1.0,0.1526887994498111,,,
1950,0,39,-97.23451,26.853056,unimodal,1,8.907056143256158,1.0,0.1851570579629733,,,
1951,1,39,-97.050064,26.853056,unimodal,1,9.64319437231826,1.0,0.413981160769056,,,
1952,2,39,-96.8656,26.853056,unimodal,1,11.124739948341498,1.0,0.3312877170657944,,,
1953,3,39,-96.68114,26.853056,unimodal,1,11.81620795408715,1.0,0.2470696275520855,,,
1954,4,39,-96.49669,26.853056,unimodal,1,12.535728716452184,1.0,0.2642297828412464,,,
1955,5,39,-96.312225,26.853056,unimodal,1,13.32544340403969,1.0,0.3614536932101912,,,
1956,6,39,-96.12778,26.853056,unimodal,1,14.82766680462755,1.0,0.572106166634429,,,
1957,7,39,-95.94331,26.853056,bimodal,2,16.421118283855982,0.7222222222222222,0.36626409321188,19.586432402034976,0.2777777777777778,1.559245437843826
1958,8,39,-95.75886,26.853056,unimodal,1,14.869116644807598,1.0,2.395801458477901,,,
1959,9,39,-95.5744,26.853056,unimodal,1,17.230122124642794,1.0,1.161757516060966,,,
1960,10,39,-95.38994,26.853056,unimodal,1,19.63090187538959,1.0,1.0182533687752842,,,
1961,11,39,-95.20549,26.853056,unimodal,1,17.60237722107481,1.0,0.9826240496320344,,,
1962,12,39,-95.02103,26.853056,unimodal,1,17.95374466400519,1.0,0.590633031053949,,,
1963,13,39,-94.83657,26.853056,unimodal,1,18.90105865841199,1.0,0.540811009321044,,,
1964,14,39,-94.652115,26.853056,bimodal,2,18.847371114678335,0.5833333333333334,0.30897662145683463,21.089249512980683,0.4166666666666667,0.8748717461314841
