cell_id,lon_idx,lat_idx,center_lon,center_lat,n_points,mean_speed,std_speed,median_speed,min_speed,max_speed,mean_direction,mean_u,mean_v,mean_temperature,mean_pressure,mean_humidity,mean_height,landmask
1506,6,30,-96.12778,25.343372,36,18.30596805904528,1.2724757393300286,18.867515115853955,15.355431115023013,19.848470850053225,185.24086598871483,1.6691136361510184,18.19666878974925,301.7408,100178.25,0.021175524,0.0,0.0
1507,7,30,-95.94331,25.343372,36,19.193087394832407,0.45065584674244097,19.06278077058324,18.405305900998954,20.093009817973016,181.34852950186982,0.45147023953077553,19.178343987742277,301.5178,100092.22,0.021057254,0.0,0.0
1508,8,30,-95.75886,25.343372,36,19.027065950510146,0.6097347882215628,18.86956220017327,18.405742872885526,21.360309754928227,172.78330871897057,-2.381651704714807,18.808647602070053,300.83246,99958.164,0.021159433,0.0,0.0
1509,9,30,-95.5744,25.343372,36,22.563930593395714,1.4656742977472297,23.089454751740746,19.691708290779818,24.58435961788791,179.6350081126747,-0.1434236541987856,22.514086461449402,301.0947,99815.195,0.02120076,0.0,0.0
1510,10,30,-95.38994,25.343372,36,26.289339581609347,1.7648878265908545,26.37761341404425,23.071312406070007,29.55221599115056,179.58500707820946,-0.18923109430550195,26.125634655516443,301.13376,99569.31,0.022016142,0.0,0.0
1511,11,30,-95.20549,25.343372,36,28.590351836579107,2.5758620048389758,29.354260629437476,22.596782261233702,32.363348809986775,169.1803224219626,-5.308444626775778,27.776011101303297,300.79944,99123.97,0.021912403,0.0,0.0
1512,12,30,-95.02103,25.343372,30,29.64741253500752,2.7011774345281463,29.808837849544922,23.476336739626422,33.977471491167606,168.36962582930622,-5.856585928792703,28.454470995465567,300.66364,98592.4,0.021919576,0.0,0.0
1513,13,30,-94.83657,25.343372,36,34.42149496934029,7.780020234951584,36.96350236193648,13.97525126468315,42.57555822789125,170.57863693040068,-5.0696713784799705,30.552700045564432,300.88327,97265.9,0.023258409,0.0,0.0
1514,14,30,-94.652115,25.343372,36,12.963432877788883,8.346388943827467,9.358713234447482,2.9235268388509574,32.0679771274725,251.47708741407882,9.827118400947525,3.292478235693941,302.39767,96421.96,0.024156976,0.0,0.0
1515,15,30,-94.46765,25.343372,36,25.73318445306707,10.861885815599399,26.44167806381391,5.911522049345989,43.640866884088815,322.8363838383495,14.290973614775957,-18.852509562656582,302.12238,96647.27,0.024278989,0.0,0.0
1516,16,30,-94.2832,25.343372,36,38.01056189747804,2.13958189800726,37.91396235483069,33.98826983786187,43.50985087429784,332.018300437758,17.284063544234467,-32.531658392555094,301.1225,98142.48,0.022754654,0.0,0.0
1517,17,30,-94.09874,25.343372,36,30.50410442119862,3.066997807560266,30.246530297796724,25.236382656542848,35.6289823423868,333.04151245180384,13.72729948689357,-26.989666466024737,301.76993,99085.89,0.022035392,0.0,0.0
1518,18,30,-93.91429,25.343372,36,23.79877046657473,1.7429890159926618,24.362198011939363,19.670309884144082,26.31534200472949,334.9826382769927,10.018803350865106,-21.468406483886408,301.913,99487.75,0.022220185,0.0,0.0
1519,19,30,-93.72983,25.343372,36,22.446443237171177,0.8761953946718971,22.43954202700785,20.98807727656736,24.58808745969031,326.2354035238213,12.402664183684456,-18.5516658329307,302.25558,99732.555,0.022068776,0.0,0.0
1520,20,30,-93.545364,25.343372,36,19.79165736025697,0.7135561256764539,19.881229427466238,18.5065203254008,21.159389077756153,325.0768349906982,11.31469630328821,-16.205270286300472,302.2453,99917.305,0.021658767,0.0,0.0
1521,21,30,-93.360916,25.343372,36,17.468290879429905,0.7904494541625183,17.666444375134603,15.645742215357002,18.851587931261655,330.6707389390935,8.54118291445555,-15.20201220276754,301.82504,100053.57,0.020694263,0.0,0.0
1522,22,30,-93.17645,25.343372,36,16.08712794125642,1.228151719661569,16.25883692331403,12.847820986737464,18.76343183844413,334.46553236440224,6.89050647755318,-14.423910295500669,301.95538,100185.85,0.02161144,0.0,0.0
1523,23,30,-92.992004,25.343372,36,16.85976829163998,0.7082235092896079,16.722333636987315,15.614895954807947,18.55982405356743,329.7236555404073,8.491001447713394,-14.544389300531236,302.87302,100266.94,0.021421047,0.0,0.0
1524,24,30,-92.80754,25.343372,30,16.15225993356845,0.6238555829228597,16.217994641192977,14.957548440780691,17.11162120430171,326.0014926902686,8.952378578521477,-13.273192953071907,302.59872,100346.01,0.022030795,0.0,0.0
1525,25,30,-92.623085,25.343372,36,15.223103239630298,0.8463521713153234,15.054120794730784,14.040732842602663,17.13528758645731,322.2583528899504,9.282656586750985,-11.992328354950365,302.3302,100400.086,0.021133177,0.0,0.0
1526,26,30,-92.43863,25.343372,36,15.503203566520597,0.9941257790539082,15.205121624087372,14.004080274692221,18.01425536667251,326.8834363028091,8.4563532111485,-12.963825975468312,301.91327,100469.125,0.021792317,0.0,0.0
1527,27,30,-92.254166,25.343372,36,14.689436861966293,0.8853622416237225,14.950783229247783,12.142495157330652,15.640886309232874,319.6743848290677,9.460079948598256,-11.144838898927242,302.0017,100510.44,0.021772502,0.0,0.0
1528,28,30,-92.06972,25.343372,36,14.524871743506575,0.5638748699182539,14.43971337550358,13.420360159165112,15.712790165189611,323.63808432092867,8.600310005501289,-11.68142497174817,301.94193,100542.91,0.021331767,0.0,0.0
1529,29,30,-91.885254,25.343372,36,15.044079835447377,0.4125375929180392,14.979423285911281,14.432802444668393,16.200315204298697,321.8399626363161,9.278034370402361,-11.80721502323353,301.6478,100554.84,0.020661958,0.0,0.0
