cell_id,n_points,distribution,bic_1component,bic_2component,delta_bic,lon_idx,lat_idx,center_lon,center_lat,mean_speed,std_speed
1583.0,36,unimodal,11.017484344213456,21.895235312985868,-10.877750968772412,33,31,-91.14743,25.511116,12.44366150111876,0.2552631997860933
1584.0,36,unimodal,30.460753103987997,39.98581179452872,-9.525058690540725,34,31,-90.96297,25.511116,12.506194769163992,0.3344008985825623
1585.0,36,unimodal,51.1826905176895,59.76222299094695,-8.579532473257451,35,31,-90.77851,25.511116,12.051477059900463,0.4459225377099318
1586.0,36,unimodal,73.86220731970143,74.11095074482584,-0.24874342512441672,36,31,-90.594055,25.511116,11.463055079876549,0.6110254086092791
1587.0,30,unimodal,68.88337617417145,78.36506370312996,-9.481687528958517,37,31,-90.40959,25.511116,10.712328329853394,0.6809574137305782
1588.0,36,unimodal,83.86761963836751,90.61362187009787,-6.746002231730358,38,31,-90.22514,25.511116,9.949247096078002,0.7021187881322936
1589.0,36,unimodal,-12.999721647935148,-3.141993332848198,-9.85772831508695,39,31,-90.04068,25.511116,10.126169581446474,0.1828603713027365
1590.0,36,unimodal,5.678194123738606,-2.932391037904903,8.61058516164351,40,31,-89.85623,25.511116,9.938628511819598,0.2370185386522917
1591.0,36,unimodal,48.46111454683996,50.12765853891233,-1.66654399207237,41,31,-89.67177,25.511116,9.379259819725192,0.4293814086549254
1592.0,36,unimodal,45.34074829376711,49.35330157009311,-4.0125532763259955,42,31,-89.487305,25.511116,8.555553864177547,0.411170170201402
1593.0,36,unimodal,10.2053475415394,15.057732197268674,-4.852384655729274,43,31,-89.30286,25.511116,7.898867064684786,0.2524000909626671
1594.0,36,unimodal,-29.468722734108702,-26.452240444512636,-3.016482289596066,44,31,-89.11839,25.511116,7.992774822529853,0.1454724522008199
1595.0,36,unimodal,-15.678907392441426,-8.014113807618745,-7.6647935848226805,45,31,-88.933945,25.511116,7.687803003010206,0.1761810131134335
1596.0,36,unimodal,-16.943829184621414,-10.75266408320299,-6.191165101418424,46,31,-88.74948,25.511116,7.453957309953534,0.1731128323240145
1597.0,36,unimodal,-40.68381024637486,-36.77699392717247,-3.9068163192023917,47,31,-88.565025,25.511116,7.107867451923056,0.1244895319831558
1598.0,36,unimodal,-32.98547981195999,-24.29115896325207,-8.694320848707921,48,31,-88.38057,25.511116,7.056832740608204,0.1385377550764723
1599.0,36,unimodal,8.387869509809574,14.108102650374214,-5.720233140564639,49,31,-88.196106,25.511116,6.699334648645772,0.2461085602977589
1600.0,36,bimodal,117.95369481191057,96.35315651127553,21.600538300635037,0,32,-97.23451,25.67886,8.427485066389611,1.1272319607826102
1601.0,36,bimodal,44.70079830199436,26.33057281511404,18.370225486880322,1,32,-97.050064,25.67886,12.080836236787524,0.40753180303551
1602.0,36,unimodal,-39.9412673894206,-38.69779058613585,-1.24347680328475,2,32,-96.8656,25.67886,13.172946104864945,0.1257800475543332
1603.0,36,unimodal,18.61203425736589,21.048292356592402,-2.43625809922651,3,32,-96.68114,25.67886,13.674369653633912,0.2836596286706511
1604.0,36,unimodal,43.61477491997839,44.92256166269901,-1.307786742720623,4,32,-96.49669,25.67886,15.24058338970989,0.4014308605967593
1605.0,36,unimodal,58.06386938462314,59.233507829149474,-1.1696384445263348,5,32,-96.312225,25.67886,16.478513931916204,0.4906431999951894
1606.0,36,unimodal,103.50694664333378,100.59463928392266,2.912307359411116,6,32,-96.12778,25.67886,17.14892145234884,0.9223004463545414
1607.0,36,unimodal,58.30622131470875,55.572790347628455,2.733430967080295,7,32,-95.94331,25.67886,19.018899185477594,0.4922974871325041
